SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Urocitellus beldingi,-120.097959,38.906174,1902,315,1138,40,60406,1920.275024,-911.325012,2831.600098,-374,1135,1136,-374,144477.2188,26544.77539,805.424988,79,75535.64844,4580.850098,4853,75536
Urocitellus beldingi,-118.7,41.69,1909,215,1089,33,72160,2094.949951,-1127.150024,3222.100098,-527,1167,1181,-655,58008.875,7454.299805,815.049988,52,22111.59961,3781.875,4789,21935
Urocitellus beldingi,-120.310479,39.44296,1910,454,1519,45,61834,2365.350098,-957.224976,3322.575195,-240,1278,1278,-286,95996.29688,17803.19922,551.25,79,50243.14844,3215.824951,3216,49826
Urocitellus beldingi,-120.328223,41.799895,1910,524,1135,34,73094,2414.5,-915.974976,3330.475098,-375,1451,1521,-375,59566.42578,7386.675293,1193.650024,45,21642.94922,4983.049805,5924,21643
Urocitellus beldingi,-120.5446,41.4898,1910,844,1872,46,72451,3168.600098,-861.5,4030.100098,-74,1761,1804,-74,27449.22461,3375.425049,487.024994,41,9854.599609,2775.949951,3029,9855
Urocitellus beldingi,-120.344282,41.436398,1910,783,1511,41,72763,2908.925049,-761.325012,3670.25,-113,1736,1756,-113,43235.10156,5430.649902,872.724976,42,15098.6748,3884.574951,4896,15099
Urocitellus beldingi,-120.217821,41.41896,1910,264,1290,38,68877,2209.050049,-1099.299927,3308.350098,-556,1183,1195,-556,98930.04688,14729.125,1062.375,57,42089.125,5953.649902,6975,42089
Urocitellus beldingi,-119.937438,38.762803,1913,594,1380,42,64556,2467.274902,-748.574951,3215.849854,-117,1470,1470,-159,95022.55469,17486.67578,758.375,76,49576.27734,4034.725098,4035,48211
Urocitellus beldingi,-119.481064,37.815012,1915,457,1466,46,57372,2104.725098,-1021.875,3126.600098,-215,1240,1240,-215,120814.875,29239.15039,339.625,92,67981.27344,1663.75,1664,67981
Urocitellus beldingi,-119.529899,37.812021,1915,589,1505,47,57331,2254.425049,-908.324951,3162.75,-83,1366,1367,-83,125145.8203,30149.82422,291.049988,93,71537.375,1853.724976,2196,71537
Urocitellus beldingi,-119.29737,37.857211,1915,291,1889,52,58167,2224.875,-1361.525024,3586.399902,-362,1068,1068,-404,91647.39844,17971.72461,864.599976,76,48571.54688,4391.149902,4391,47152
Urocitellus beldingi,-119.256879,37.910952,1915,234,1443,45,58150,1935.900024,-1213.5,3149.399902,-407,1020,1033,-433,93990.89844,18825.69922,1103.474976,78,50155.875,5289.199707,5692,49746
Urocitellus beldingi,-119.21271,37.855455,1916,171,1083,37,62260,1691.724976,-1205.125,2896.850098,-496,1022,1029,-536,98539.07813,20121.84961,1518.525024,78,52797.57422,6011,6416,51397
Urocitellus beldingi,-121.995662,41.724656,1918,774,1666,45,69087,2872.800049,-781.075012,3653.875,-96,1664,1680,-96,33864.64844,4943.600098,722.025024,49,13664.7002,3061.25,3959,13665
Urocitellus beldingi,-122.151015,41.745484,1918,784,1313,39,69256,2718.949951,-575.474976,3294.424805,-66,1713,1713,-66,51808.125,7765.75,960.549988,48,20260.22461,4321.549805,4322,20260
Urocitellus beldingi,-122.208795,41.796892,1918,653,1214,39,65804,2518.125,-588.875,3107,-40,1553,1553,-131,66334.07813,9655.325195,1405.149902,51,26276.375,4866.899902,4867,25475
Urocitellus beldingi,-122.170552,41.646971,1918,845,1323,41,65649,2748.274902,-458.799988,3207.074951,127,1714,1714,46,45738.57422,6173.125,726.349976,47,17538.25,3686.349854,3686,17206
Urocitellus beldingi,-120.52072,40.664501,1918,813,1670,43,72231,2990.274902,-851.875,3842.149902,-99,1768,1768,-99,37020.17578,6970.075195,514.775024,71,18995.72461,2240.5,2241,18996
Urocitellus beldingi,-120.459361,40.865644,1918,680,1785,44,72108,2955.924805,-1022.75,3978.674805,-237,1595,1629,-237,24890.02539,3159.350098,442.450012,41,8807.550781,2418.375,3038,8808
Urocitellus beldingi,-120.684606,41.420479,1920,869,1758,44,72736,3127.125,-796.599976,3923.725098,-50,1796,1832,-50,31302.42578,4102,468.125,46,11818.4248,2789.774902,3061,11818
Urocitellus beldingi,-120.737271,41.474372,1920,865,1764,44,73515,3140.824951,-803.125,3943.949951,-59,1806,1837,-59,29828.125,3824.849854,411.200012,46,11024.2002,2576.949951,2936,11024
Urocitellus beldingi,-119.60917,41.63167,1920,735,1490,40,73901,2877.625,-818.974976,3696.600098,-171,1707,1732,-171,24432,2972.449951,577.625,38,8438.474609,2479.324951,3090,8438
Urocitellus beldingi,-120.2937,43.9753,1920,688,1704,45,67287,2877.225098,-839.174988,3716.400146,-68,1548,1582,-161,31555.94922,3889.225098,993.674988,33,11125.02539,4355.625,5303,10540
Urocitellus beldingi,-119.80778,38.767235,1921,911,1586,44,67232,2932.075195,-623.049988,3555.125244,88,1788,1817,88,53043.94922,10720.5752,733.549988,78,28521.42578,3179.550049,3250,28521
Urocitellus beldingi,-119.802226,38.791275,1921,951,1578,44,68137,2979.725098,-602.625,3582.350098,112,1831,1867,112,51900.82422,10555.34961,673.849976,78,28133.17578,3088.924805,3230,28133
Urocitellus beldingi,-119.794922,38.775711,1921,928,1611,44,67802,2970.625,-631.599976,3602.225098,93,1811,1839,93,50312.25,10238.84961,667.574951,78,27198.69922,3068.549805,3210,27199
Urocitellus beldingi,-119.7857,38.8287,1921,934,1813,47,68005,3066.899902,-725.5,3792.399902,91,1810,1845,91,37617,7757.125,534.125,77,20445.625,2356.524902,2491,20446
Urocitellus beldingi,-118.739175,37.630655,1922,764,1800,47,69306,2873.550049,-918.549988,3792.100098,-101,1628,1697,-101,37576.89844,6916.450195,865.5,71,19757.22461,3889.550049,4050,19757
Urocitellus beldingi,-117.8333,44.775,1922,800,1505,39,78487,2983.350098,-864.200012,3847.550049,-111,1764,1812,-231,27976.27539,3159.850098,1145.849976,29,8936.099609,4089.050049,5495,8886
Urocitellus beldingi,-117.48083,38.93389,1925,597,1908,45,74515,2905.899902,-1263.449951,4169.349609,506,1537,1610,-331,20247.125,2169.600098,1172.400024,17,6132.325195,4139.875,4673,5041
Urocitellus beldingi,-120.377881,41.451324,1926,846,1516,41,72506,2968.300049,-689.599976,3657.899902,74,1794,1813,-50,37950.55078,4752.25,785.349976,42,13440,3526.375,4241,13423
Urocitellus beldingi,-120.267567,41.334976,1926,483,1200,36,71442,2417.199951,-908.625,3325.824951,-381,1425,1444,-381,67026.04688,10457.7002,1122.275024,54,29396.77539,4893.549805,6078,29397
Urocitellus beldingi,-119.001593,37.602866,1927,504,1457,44,64819,2330,-970.475037,3300.475098,-256,1370,1377,-256,111938.2266,24698.52539,404.450012,97,68791.14844,2038.950073,2394,68791
Urocitellus beldingi,-118.6786,42.7608,1927,416,1291,37,70198,2445.024902,-964.75,3409.774902,-403,1367,1381,-403,65910.20313,8873.424805,940.675049,49,24651.65039,4392.100098,7482,24652
Urocitellus beldingi,-115.5,40.16,1927,786,1702,41,81161,3074.424805,-1068.75,4143.174805,-77,1800,1863,-248,30336.90039,3918.949951,1118.625,32,10128.15039,4184.700195,4554,9990
Urocitellus beldingi,-115.22,40.81,1927,685,1394,38,78040,2748.774902,-895.900024,3644.674805,-142,1693,1728,-280,42417.125,5732.600098,1558.724976,38,15515.4248,5323.524902,5688,14830
Urocitellus beldingi,-121.43186,40.33975,1927,719,1586,45,63177,2758.475098,-725.224976,3483.700195,-58,1537,1547,-58,113810.25,20802.15039,526.450012,76,57884.07422,3812.774902,4126,57884
Urocitellus beldingi,-118.7481,37.1706,1928,-47,1222,41,58018,1435.425049,-1493.324951,2928.75,-716,746,746,-716,110806.7969,25410.90039,551.599976,97,68161.60156,2472.824951,2473,68162
Urocitellus beldingi,-120.046124,38.36765,1928,746,1349,43,64200,2558.800049,-566.099976,3124.899902,57,1601,1613,-7,115167.2969,21814.07422,360.350006,79,61542.97266,3436.850098,3982,59302
Urocitellus beldingi,-118.96647,37.126209,1928,481,1574,49,55711,2173.324951,-999.75,3173.074951,-170,1240,1240,-170,99576.45313,21763,190.450012,93,58547.875,1869.824951,1870,58548
Urocitellus beldingi,-115.59,40.34,1928,776,1465,38,81172,2945.074951,-897.5,3842.574951,618,1826,1867,-232,34722.44922,4602.549805,1234.25,34,12263.97461,4597.375,5136,9957
Urocitellus beldingi,-115.07,40.91,1929,739,1421,38,79694,2827.375,-878.175049,3705.550049,-255,1765,1798,-255,44516.94922,6228.824707,1465.875,41,16987.44922,5114.5,5576,16987
Urocitellus beldingi,-115.07,40.77,1929,753,1480,38,80840,2881.925049,-937.799988,3819.725098,-269,1786,1814,-269,34506.19922,4789.299805,1433.625,35,12355.40039,4657.975098,5023,12355
Urocitellus beldingi,-120.377779,39.818871,1929,757,1892,49,64661,2990.25,-835.875,3826.125,-77,1605,1605,-77,46685.05078,9382.375,451.775024,75,23986.92578,2254.699951,2255,23987
Urocitellus beldingi,-119.22669,38.255901,1930,644,1969,47,72089,2857.25,-1268.199951,4125.450195,-297,1542,1580,-297,23644.25,4213.299805,761.799988,62,11840.14941,2557.649902,3084,11840
Urocitellus beldingi,-117.1625,39.25556,1930,718,1051,32,76747,2624.949951,-655.474976,3280.424805,-105,1736,1762,-190,53878.57422,7586.100098,1669.974976,42,20580.375,6467.225098,7480,18249
Urocitellus beldingi,-117.034396,39.395973,1930,769,1168,34,76328,2728.425049,-635.049988,3363.475098,200,1782,1813,-135,43081.69922,5958.725098,1463.050049,41,16130.40039,5237.75,5949,13803
Urocitellus beldingi,-120.502493,41.23042,1930,882,1670,43,72240,3062.225098,-745.325012,3807.550049,-22,1814,1843,-22,31897.125,4397.574707,591.025024,48,12310.59961,2943.949951,3001,12311
Urocitellus beldingi,-118.999614,37.630973,1931,450,1652,47,62675,2407.625,-1068.525024,3476.149902,-299,1296,1296,-299,73609.89844,15646.17578,557.575012,88,42528.52734,2493.699951,2494,42529
Urocitellus beldingi,-121.5833,44.0053,1932,458,1211,40,59750,2286.574951,-701.424988,2988,-155,1268,1268,-252,101244.2031,17402.84961,1181.849976,68,49262.14844,5958.125,5958,47233
Urocitellus beldingi,-120.4269,44.3964,1932,616,1650,44,67774,2771.024902,-922.724976,3693.75,-156,1481,1493,-253,39548.69922,5428.924805,1074.800049,40,15233.4248,4968.075195,5569,14158
Urocitellus beldingi,-116.916578,38.666252,1933,546,1411,38,74748,2573.449951,-1052.25,3625.699951,12,1513,1580,-344,42561.52344,5925.049805,1395.400024,38,15419.32422,5669,6426,13969
Urocitellus beldingi,-116.91917,38.69389,1933,567,1432,39,74895,2622.800049,-1033,3655.800049,-216,1532,1597,-333,43268.42578,6110.575195,1334.900024,40,15874.92578,5629.674805,6342,14314
Urocitellus beldingi,-116.901178,38.677853,1933,621,1433,38,75981,2675.300049,-1011.924988,3687.225098,-172,1602,1667,-289,38299.82422,5117.325195,1459.449951,34,13401.52539,5726.700195,6226,12203
Urocitellus beldingi,-116.88243,38.69348,1933,483,1411,40,72758,2476.600098,-1032.900024,3509.5,-263,1435,1500,-368,45915.30078,6433.600098,1329.199951,41,16880.32422,5713.024902,6618,15397
Urocitellus beldingi,-121.8453,43.6161,1933,576,1632,46,60950,2625.074951,-887.950012,3513.024902,-93,1368,1387,-181,68631.10156,12507.875,870.099976,67,33709.5,4896.974609,5073,32277
Urocitellus beldingi,-118.74535,37.436447,1934,183,1330,42,60762,1863.099976,-1249.474976,3112.574951,-526,1010,1010,-526,78561.77344,16930.59961,981.75,86,43532.10156,3423.774902,3424,43532
Urocitellus beldingi,-118.7565,37.408703,1934,154,1302,42,61635,1833.599976,-1264.775024,3098.375,-543,991,991,-562,103213.0234,22643.67578,932.375,92,60123.10156,3223.725098,3224,58658
Urocitellus beldingi,-116.09871,41.94768,1934,731,1622,40,77663,3003.175049,-964.299988,3967.475098,611,1719,1777,-240,31861.42578,3682.199951,820.649963,35,10486.5,3396.199951,4886,9437
Urocitellus beldingi,-116.1094,42.1725,1934,694,1744,42,77959,3024.350098,-1063.25,4087.600098,592,1681,1735,-294,28263.52539,3455.225098,829.875,33,9195.575195,3377.25,4425,8088
Urocitellus beldingi,-116.0819,42.1665,1934,667,1639,41,78044,2945.550049,-1028.449951,3974,542,1666,1703,-316,31554.94922,3647.850098,908.824951,34,10089.40039,3502.674805,4649,9594
Urocitellus beldingi,-113.5219,42.3718,1934,763,1531,39,80261,2963.925049,-935.025024,3898.950195,1101,1774,1823,-264,36477.22656,4294.5,1418.724976,29,11882.57422,4952.25,6772,10022
Urocitellus beldingi,-113.5772,42.3983,1934,783,1628,41,76931,3015.649902,-878.075012,3893.724854,1122,1744,1800,-199,32881.5,3854.925049,1057.875,31,10849.5752,4251.799805,5786,8996
Urocitellus beldingi,-114.6323,42.2181,1935,803,1636,40,80498,3113.725098,-921.174988,4034.900146,1135,1820,1874,-215,25483.47461,3127.75,1121.150024,27,8211.299805,3770.450195,4672,6619
Urocitellus beldingi,-116.4534,43.1466,1935,1069,1564,38,84078,3367,-646.775024,4013.774902,202,2105,2166,-19,21444.19922,2368.049805,531.575012,34,6840.149902,2353.925049,3148,6540
Urocitellus beldingi,-116.7535,43.2418,1935,903,1568,40,79145,3127.225098,-736.849976,3864.075195,-102,1898,1954,-102,23847.27539,2834.974854,684.875,34,7479.774414,2677.975098,3927,7480
Urocitellus beldingi,-116.6671,43.3863,1935,1081,1465,38,81847,3223.225098,-603.375,3826.600098,244,2076,2142,10,22096.77539,2514.449951,506.950012,36,7347.225098,2292.699951,3002,7048
Urocitellus beldingi,-113.5606,42.2483,1935,761,1537,38,82228,3011.324951,-967.200012,3978.524902,1110,1794,1847,-296,29580.97461,3576.399902,1648.224976,20,9308.650391,6035.424805,6927,7239
Urocitellus beldingi,-113.3683,42.2774,1935,822,1729,41,81183,3175.949951,-944.950012,4120.899902,1201,-111,1885,-236,24071.72461,3171.675049,1391.800049,26,8011.149902,4858.375,6189,5004
Urocitellus beldingi,-113.3417,42.1294,1935,786,1654,40,82410,3121.699951,-970.25,4091.949951,1160,-153,1872,-279,24590.69922,3353.350098,1482.150024,26,8369.400391,4844.875,6244,4983
Urocitellus beldingi,-114.5543,42.2181,1935,785,1641,40,80231,3083.550049,-940.200012,4023.75,1118,1801,1855,-226,25462.72461,3182.274902,1101.474976,27,8281.174805,3850.274902,4830,6465
Urocitellus beldingi,-113.233,42.5778,1935,856,1670,39,85933,3258.949951,-934.924988,4193.875,806,1909,1988,-255,26194.19922,2972.100098,1259.050049,26,8385.775391,3983.199951,4566,7135
Urocitellus beldingi,-114.23,41.96,1935,691,1652,39,82980,3033.100098,-1133.099976,4166.200195,584,1746,1794,-352,30188.65039,3636.125,1568,24,9354.525391,4795.975098,5865,8346
Urocitellus beldingi,-114.5,41.9,1935,532,1326,36,79870,2680.274902,-999.925049,3680.199951,-331,1567,1591,-461,41209.47656,5141.049805,1589.025024,32,13501.875,5092.899902,6379,13031
Urocitellus beldingi,-116.04664,41.77714,1935,495,1514,39,76931,2688.475098,-1151.099976,3839.575195,-341,1501,1516,-449,61258.07422,8305.775391,1239.449951,51,24232.82422,4194.450195,5286,22310
Urocitellus beldingi,-119.945312,39.00466,1936,693,1503,45,62660,2619.375,-684.424988,3303.800049,-67,1519,1533,-67,49322.84766,9330.224609,417.700012,78,26328.57422,2051.425049,2214,26329
Urocitellus beldingi,-115.4775,40.72806,1936,731,1603,40,80416,2975.875,-1005.625,3981.5,-117,1805,1805,-282,35573.75,4855.049805,1124.25,41,13222.19922,4286.975098,4287,11330
Urocitellus beldingi,-117.16,39.59,1936,792,1872,43,79302,3190.100098,-1084.775024,4274.875,692,1795,1859,-206,21596.09961,2450.449951,1146.25,25,7129.649414,3673.725098,4121,6152
Urocitellus beldingi,-116.9328,43.6178,1936,1075,1561,38,85936,3390.274902,-670.375,4060.649902,44,2105,2186,-51,21017.67578,2338.925049,624.599976,34,6835.200195,2345.899902,2957,6382
Urocitellus beldingi,-117.57183,38.85144,1936,709,1545,41,73771,2823.350098,-886.174988,3709.525146,547,1669,1714,-178,24826.72461,2755.225098,1281.349976,22,7901.875,4555,4979,6558
Urocitellus beldingi,-118.6467,42.7372,1936,341,1291,38,68237,2322.125,-1027.074951,3349.199951,-339,1269,1276,-443,75792.02344,10022.09961,951.75,51,28780.69922,4752.875,7460,28259
Urocitellus beldingi,-121.513572,41.720553,1936,883,1405,40,72017,2902.524902,-569.299988,3471.824951,131,1829,1833,-3,37057.97656,5238.725098,706.200012,49,15301.5,3283.350098,3984,14692
Urocitellus beldingi,-119.33083,40.79889,1936,1059,1653,40,82285,3346.125,-738.200012,4084.324951,10,2086,2144,10,15102.52539,2288.100098,286.475006,44,6022.150391,1537.724976,2107,6022
Urocitellus beldingi,-119.98,41.99,1936,803,1467,39,75179,2975.300049,-724.200012,3699.5,-121,1782,1811,-121,32191.375,4562.299805,568.025024,49,12761.1748,2730.425049,3066,12761
Urocitellus beldingi,-116.28152,41.56791,1937,744,1732,41,79619,3129.399902,-994.950012,4124.350098,607,1764,1820,-244,28724.875,3568.274902,780.700012,34,9207.275391,3352.949951,4098,8852
Urocitellus beldingi,-118.3311,44.5781,1937,573,1427,37,78371,2765.850098,-1052.025024,3817.875,-310,1566,1588,-437,55316.55078,8542.525391,1255.125,53,24020.15039,4834.450195,6171,23540
Urocitellus beldingi,-118.569501,37.16509,1938,305,1279,41,61470,1945.975098,-1138.875,3084.850098,-377,1154,1154,-404,49495.40234,9830.575195,1447.199951,67,25076.97461,5028,5028,23622
Urocitellus beldingi,-119.636367,38.328895,1938,194,1399,45,58691,1928.300049,-1162.824951,3091.125,-469,995,995,-469,122335.1953,24199.19922,1293.224976,76,63998,5694.75,6864,63998
Urocitellus beldingi,-120.9815,41.1932,1938,900,1693,44,70078,3035,-728.150024,3763.149902,5,1794,1815,5,36937.39844,5061.174805,599.950012,47,14120.32422,3177.425049,3507,14120
Urocitellus beldingi,-122.9107,44.2042,1938,1112,998,39,50590,2583.149902,57.799999,2525.349854,554,1770,1782,491,131132.9688,19995.77539,1425.075073,58,57689.32422,8424,9281,53458
Urocitellus beldingi,-120.4257,44.4709,1938,710,1240,39,64962,2564.225098,-597.599976,3161.825195,13,1576,1576,-88,50834.82422,7611.875,1169.175049,46,20769.44922,5302.049805,5302,18865
Urocitellus beldingi,-117.9378,44.9117,1939,752,1473,39,75934,2873.175049,-870.224976,3743.399902,-256,1669,1720,-256,29127.52539,3278.5,1214,28,9290.050781,4267.5,5570,9290
Urocitellus beldingi,-119.33911,38.164119,1939,475,1660,47,64912,2425.475098,-1067.474976,3492.950195,-236,1356,1356,-305,58345.25,12521.09961,1027.949951,78,31891.19922,4170.325195,4170,30608
Urocitellus beldingi,-120.6939,44.1008,1939,773,1646,46,63908,2873.850098,-687.549988,3561.400146,1020,1586,1620,-35,22100.17578,2519.850098,622,29,7057.950195,3354.574951,4144,6084
Urocitellus beldingi,-120.299144,41.97664,1939,795,1547,41,73335,2962.375,-753.549988,3715.925049,0,1744,1774,-117,43187.05078,6614.149902,710.974976,45,16692.25,4341.049805,4797,16148